Name,Runs,c,d,e,f,g,h,i,SR,k,l,m,clustno
Suresh Raina,80,147,62,138.2,1010,24,2/0,42.08,7.3,34.58,0,0,2
Sreenath Aravind,46,28,28,96.1,764,40,4/14,19.1,7.94,14.42,2,0,2
Angelo Mathews,74,46,42,126.5,1023,27,4/19,37.88,8.06,28.18,1,0,2
Pravin Tambe,71,33,33,110.0,853,28,4/20,30.46,7.75,23.57,1,0,2
Yusuf Pathan,43,134,76,184.2,1351,41,3/11,32.95,7.32,26.97,0,0,2
Andre Russell,62,34,34,105.1,896,31,4/20,28.9,8.51,20.35,1,0,2
Ryan Harris,40,37,37,138.4,1047,45,4/34,23.26,7.55,18.48,1,0,2
Harshal Patel,61,35,33,109.5,928,31,2/12,29.93,8.44,21.25,0,0,2
Jasprit Bumrah,76,31,31,113.4,961,26,3/13,36.96,8.45,26.23,0,0,2
Shahbaz Nadeem,59,48,46,168.0,1200,31,3/16,38.7,7.14,32.51,0,0,2
Kevon Cooper,57,25,25,96.0,757,33,4/26,22.93,7.88,17.45,1,0,2
Dirk Nannes,70,29,29,107.4,785,28,3/27,28.03,7.29,23.07,0,0,2
Pradeep Sangwan,65,33,33,113.4,975,30,3/18,32.5,8.57,22.73,0,0,2
Tim Southee,93,26,26,100.0,818,19,3/24,43.05,8.18,31.57,0,0,2
Shakib Al Hasan,41,42,41,150.3,1070,43,3/17,24.88,7.1,21.0,0,0,2
Parvinder Awana,48,33,33,124.3,1029,39,4/34,26.38,8.26,19.15,1,0,2
Thisara Perera,63,37,36,116.2,1016,31,3/20,32.77,8.73,22.51,0,0,2
Daniel Vettori,69,34,34,129.3,879,28,3/15,31.39,6.78,27.75,0,0,2
Ajit Agarkar,68,42,42,130.2,1151,29,3/25,39.68,8.83,26.96,0,0,2
Mitchell McClenaghan,55,26,26,100.2,822,35,4/21,23.48,8.19,17.2,1,0,2
Rahul Sharma,45,44,44,154.4,1086,40,3/13,27.15,7.02,23.2,0,0,2
Mohammed Shami,99,31,30,95.1,843,18,2/20,46.83,8.85,31.72,0,0,2
Chris Morris,44,39,39,136.0,1020,41,4/23,24.87,7.5,19.9,1,0,2
Jaydev Unadkat,58,35,34,117.3,986,32,5/25,30.81,8.39,22.03,0,1,2
Karn Sharma,53,46,46,141.4,1109,36,4/38,30.8,7.82,23.61,1,0,2
Shadab Jakati,38,57,55,175.5,1398,47,4/22,29.74,7.95,22.44,2,0,2
Yuvraj Singh,54,108,69,140.5,1032,35,4/29,29.48,7.32,24.14,2,0,2
Mitchell Johnson,37,43,43,164.2,1345,52,3/27,25.86,8.18,18.96,0,0,2
Manpreet Gony,52,43,43,146.0,1255,37,3/31,33.91,8.59,23.67,0,0,2
Axar Patel,42,45,45,160.3,1185,43,4/21,27.55,7.38,22.39,1,0,2
Shanthakumaran Sreesanth,47,44,44,146.4,1194,40,3/29,29.85,8.14,22.0,0,0,2
Iqbal Abdulla,49,47,46,148.2,1054,38,3/24,27.73,7.1,23.42,0,0,2
Johan Botha,77,34,34,115.4,800,25,3/6,32.0,6.91,27.76,0,0,2
Moises Henriques,51,45,43,124.2,996,37,3/16,26.91,8.01,20.16,0,0,2
Sandeep Sharma,35,43,43,156.1,1189,54,4/25,22.01,7.61,17.35,1,0,2
Anil Kumble,39,42,42,160.5,1058,45,5/5,23.51,6.57,21.44,2,1,2
Varun Aaron,64,36,34,120.4,1056,31,3/16,34.06,8.75,23.35,0,0,2
Brett Lee,78,38,38,145.5,1095,25,3/15,43.8,7.5,35.0,0,0,2
Murali Kartik,60,56,55,191.3,1388,31,3/17,44.77,7.24,37.06,0,0,2
JP Duminy,81,77,47,110.0,798,23,4/17,34.69,7.25,28.69,1,0,2
Yuzvendra Chahal,33,43,42,155.0,1236,56,4/25,22.07,7.97,16.6,1,0,2
