Tillakaratne Dilshan,3,6
Dominic Thornely,5.71,14
Ajantha Mendis,6,24
Rohit Sharma,6.25,24
Sourav Ganguly,6.4,20
Sohail Tanvir,6.46,11.23
Shaun Pollock,6.54,25.09
Irfan Pathan,6.6,21.2
Glenn McGrath,6.61,27
Dale Steyn,6.63,22.8
Ashok Dinda,6.67,26
Daniel Vettori,6.75,24
Mohammad Hafeez,6.8,30
Amit Mishra,6.9,10.91
Makhaya Ntini,6.91,30
Farveez Maharoof,6.92,14.4
Muttiah Muralitharan,6.97,31.64
Brett Lee,7,24
Shane Watson,7.07,19.12
Dimitri Mascarenhas,7.25,12
Scott Styris,7.37,54
Manpreet Gony,7.38,21.18
Shahid Afridi,7.5,20
Dwayne Smith,7.55,13.2
Sanath Jayasuriya,7.57,31.5
Ramesh Powar,7.58,24
Munaf Patel,7.64,23.57
Pragyan Ojha,7.68,20.18
Shoaib Akhtar,7.71,8.4
Balachandra Akhil,7.73,52
Ashish Nehra,7.76,22.42
Shane Warne,7.77,16.42
Ishant Sharma,7.8,36.14
Paidikalva Vijaykumar,7.86,38
Vinay Kumar,7.91,27.6
Anil Kumble,7.93,32.86
Virat Kohli,7.95,23
Ajit Agarkar,7.96,19.5
Dhawal Kulkarni,8,16.09
Dilhara Fernando,8,12
Yusuf Pathan,8.16,21.12
Umar Gul,8.18,11.25
Dwayne Bravo,8.19,15.45
Praveen Kumar,8.19,24.36
Harbhajan Singh,8.2,12
Piyush Chawla,8.31,16.53
Albie Morkel,8.31,16.94
Siddharth Trivedi,8.31,22.15
Rajat Bhatia,8.32,22
Rohan Raje,8.39,19.6
Sarvesh Kumar,8.4,30
Zaheer Khan,8.5,19.38
Chaminda Vaas,8.53,20.4
RP Singh,8.61,20.53
S Sreesanth,8.64,16.16
Murali Kartik,8.66,29.33
Lakshmipathy Balaji,8.67,18
Vikram Singh,8.75,26.18
Sanjay Bangar,8.76,37.5
Yo Mahesh,8.77,15.81
Sunil Joshi,8.94,55
Pradeep Sangwan,8.96,28.8
Nuwan Zoysa,9,33
Suresh Raina,9.01,20
Jacques Kallis,9.06,51.5
Yuvraj Singh,9.22,18
Mohammad Asif,9.25,24
Jacob Oram,9.31,32
Dwaraka Ravi Teja,9.5,12
Joginder Sharma,9.69,18.5
Abhishek Nayar,9.71,42
Dinesh Salunkhe,9.75,48
Venugopal Rao,9.79,42
James Hopes,9.86,24
Siddharth Chitnis,10,18
Shoaib Malik,10,25.5
David Hussey,10,39
Ashley Noffke,10,24
Gagandeep Singh,10.07,28
Musavir Khote,10.2,15
Laxmi Shukla,10.33,12
Andre Nel,10.33,18
Palani Amarnath,10.73,18.86
Doddapaneni Kalyankrishna,10.88,24
Vidyut Sivaramakrishnan,11,12
Brett Geeves,11.38,48
Wilkin Mota,12,18
Virender Sehwag,12.09,22
Ravichandran Ashwin,3.25,12
Charl Langeveldt,3.75,8
Ajinkya Rahane,5,6
Muttiah Muralitharan,5.22,21.43
Jean-Paul Duminy,5.31,26.25
Amit Singh,5.43,11.67
Brett Lee,5.55,24
Harbhajan Singh,5.82,22
Anil Kumble,5.86,16.9
Murali Kartik,5.91,51
Suresh Raina,5.93,23.71
Lee Carseldine,6,6
Johan Botha,6.17,24
Ramesh Powar,6.29,25.2
Lasith Malinga,6.3,16.5
Ravindra Jadeja,6.47,23.33
Pragyan Ojha,6.5,17.83
Farveez Maharoof,6.5,15
Kevin Pietersen,6.54,19.5
Fidel Edwards,6.6,28
Andrew Symonds,6.67,20.57
Tyron Henderson,6.67,36
Rajat Bhatia,6.74,13
Graham Napier,6.75,24
Zaheer Khan,6.76,21
Jesse Ryder,6.76,34
Ashish Nehra,6.78,16.11
Wilkin Mota,6.78,18
Dimitri Mascarenhas,6.83,19.33
Piyush Chawla,6.87,22.42
Dale Steyn,6.89,27
Ishant Sharma,6.91,23.45
Munaf Patel,6.92,13.06
Yusuf Pathan,6.94,30
RP Singh,6.99,15.57
Amit Mishra,7,18
Rohit Sharma,7,12.55
Abhishek Nayar,7,18
Kamran Khan,7.02,17.67
Yuvraj Singh,7.1,20
Chetanya Nanda,7.12,24
Laxmi Shukla,7.14,28
Sudeep Tyagi,7.16,22.8
Tirumalsetti Suman,7.2,18
KP Appanna,7.25,36
Balachandra Akhil,7.27,16.5
Roelof van der Merwe,7.29,22.67
Shane Warne,7.3,21.43
Shane Harwood,7.3,20
Ajantha Mendis,7.31,32
Ryan Harris,7.42,31
Shadab Jakati,7.48,13.38
Thilan Thushara,7.5,16
Dirk Nannes,7.52,19.8
Siddharth Trivedi,7.6,20
Chris Gayle,7.65,113
Jacques Kallis,7.67,46
Pradeep Sangwan,7.71,18.67
Irfan Pathan,7.75,17.76
Dwayne Bravo,7.81,18.09
Daniel Vettori,7.81,19.86
Aavishkar Salvi,7.88,25.5
Dhawal Kulkarni,7.92,31.2
Praveen Kumar,7.93,22.92
Scott Styris,8,9.6
Dillon du Preez,8,10.5
Ashok Dinda,8.04,36
Brad Hodge,8.05,17.14
Sourav Ganguly,8.08,36
Venugopal Rao,8.13,22.5
Joginder Sharma,8.14,21
Sourav Sarkar,8.15,25
Vikramjeet Malik,8.17,36
Albie Morkel,8.2,18.46
S Sreesanth,8.35,23
Vinay Kumar,8.38,21.56
Harmeet Singh,8.41,45.67
Lakshmipathy Balaji,8.47,17.23
Sanath Jayasuriya,8.58,16.29
Jacob Oram,8.58,18.6
Yusuf Abdulla,8.61,12
Moises Henriques,8.79,36.5
Dwayne Smith,8.86,84
Chaminda Vaas,8.88,12
Shoaib Ahmed,8.94,20.4
Vikram Singh,9.11,54
Ajit Agarkar,9.16,31
Pankaj Singh,9.29,21
Anureet Singh,9.4,15
Andrew Flintoff,9.55,33
Yogesh Nagar,10,6
Manpreet Gony,10.12,20.4
Rohan Raje,10.54,41
Yo Mahesh,12.5,12
Virender Sehwag,4.06,11.33
Nayan Doshi,4.25,24
Ravichandran Ashwin,6.1,22.15
Chaminda Vaas,6.32,14.67
Anil Kumble,6.43,22.35
Murali Kartik,6.49,26
Ashok Dinda,6.56,15.44
Dirk Nannes,6.56,29.29
Yuvraj Singh,6.61,27.6
Doug Bollinger,6.68,15.5
Jean-Paul Duminy,6.73,33
Roelof van der Merwe,6.75,12
Paul Collingwood,6.81,17.8
Amit Mishra,6.85,18.71
Muttiah Muralitharan,6.85,19.2
Ashish Nehra,6.86,14
Dale Steyn,6.88,23.6
Ramesh Powar,6.96,46
Thilan Thushara,6.97,17.4
Lasith Malinga,7.02,19.6
Andrew Symonds,7.02,26.5
Harbhajan Singh,7.05,18.88
Iqbal Abdulla,7.18,51
Shane Bond,7.23,20.67
Yusuf Pathan,7.24,40.8
Harmeet Singh,7.25,18
Dilhara Fernando,7.26,16.29
Pragyan Ojha,7.29,16.81
KP Appanna,7.29,42
Siddharth Trivedi,7.32,19.36
Justin Kemp,7.37,14.67
Kieron Pollard,7.41,14.8
Suresh Raina,7.47,23.83
Piyush Chawla,7.49,24.5
Sanath Jayasuriya,7.56,27
Ali Murtaza,7.58,24
Ryan Harris,7.6,13.14
Shane Warne,7.62,27.27
Shadab Jakati,7.66,17.54
Umesh Yadav,7.67,24
Yo Mahesh,7.67,18
Kevin Pietersen,7.7,20
Zaheer Khan,7.78,19.33
Rusty Theron,7.79,24
Ryan McLaren,7.94,51
Charl Langeveldt,8,13.2
Rohit Sharma,8.05,57
Rahul Sharma,8.08,24.8
Dimitri Mascarenhas,8.12,12
Brad Hodge,8.2,15
Jaydev Unadkat,8.23,15.5
Rajat Bhatia,8.25,32
Ajantha Mendis,8.25,24
Daniel Vettori,8.31,35
Pradeep Sangwan,8.32,20.67
Jacques Kallis,8.35,26.31
Shane Watson,8.36,22
Angelo Mathews,8.37,28.12
Praveen Kumar,8.44,27
Shaun Tait,8.47,18.7
Albie Morkel,8.5,26
Tillakaratne Dilshan,8.57,16.33
Vinay Kumar,8.58,17.31
Farveez Maharoof,8.58,18
Vikramjeet Malik,8.65,43
