Shaun Marsh,68.44,139.68
Gautam Gambhir,41.08,140.9
Sanath Jayasuriya,42.83,166.34
Shane Watson,47.2,151.77
Graeme Smith,49,121.82
Adam Gilchrist,33.54,137.11
Yusuf Pathan,31.07,179.01
Suresh Raina,38.27,142.71
MS Dhoni,41.4,133.55
Virender Sehwag,33.83,184.55
Rohit Sharma,36.73,147.99
Rahul Dravid,28.54,124.5
Sourav Ganguly,29.08,113.68
Shikhar Dhawan,37.78,115.25
Robin Uthappa,35.56,114.7
Kumar Sangakkara,35.56,161.62
David Hussey,29,123.17
Swapnil Asnodkar,34.56,133.48
Parthiv Patel,27.45,101.68
Yuvraj Singh,23,162.5
Venugopal Rao,36,137.14
Albie Morkel,34.43,147.85
Mark Boucher,32.14,127.12
James Hopes,20.09,149.32
Abhishek Nayar,25.75,149.28
Jacques Kallis,18.09,108.74
Stephen Fleming,21.78,118.79
Salman Butt,27.57,119.88
S Badrinath,32,147.69
Matthew Hayden,63,144.27
Brendon McCullum,62.67,204.35
Sachin Tendulkar,31.33,106.21
Mahela Jayawardene,25.57,136.64
Dwayne Bravo,29.67,132.84
Mohammad Kaif,16,102.92
Michael Hussey,84,168
Herschelle Gibbs,18.56,109.15
Virat Kohli,15,105.1
Laxmi Shukla,20.38,133.61
Andrew Symonds,80.5,153.33
Wriddhiman Saha,31.8,133.61
VVS Laxman,31,117.42
Luke Pomersbach,152,153.54
Ross Taylor,37.25,183.95
Shaun Pollock,18.38,132.43
Vidyut Sivaramakrishnan,18.12,133.03
Dinesh Karthik,24.17,135.51
Ravindra Jadeja,19.29,131.07
Irfan Pathan,21.83,112.93
Kamran Akmal,25.6,164.1
Farveez Maharoof,20.83,158.23
Misbah-ul-Haq,16.71,144.44
Wasim Jaffer,19.17,110.58
Cameron White,16.29,111.76
Praveen Kumar,11.2,114.29
Scott Styris,18.67,91.06
Dwaraka Ravi Teja,18.17,132.93
Tillakaratne Dilshan,17.33,131.65
Manoj Tiwary,26,122.35
Debabrata Das,17.17,109.57
Niraj Patel,51.5,127.16
Simon Katich,96,139.13
AB de Villiers,19,96.94
Piyush Chawla,22.5,152.54
Shreevats Goswami,27.33,96.47
Shahid Afridi,10.12,176.09
Karan Goel,12.67,97.44
Ramnaresh Sarwan,18.25,97.33
Shane Warne,14,118.64
Yogesh Takawale,35,107.69
Mohammad Hafeez,9.14,77.11
Ajit Agarkar,10.8,117.39
Shoaib Malik,13,110.64
Arjun Yadav,9.8,125.64
Sanjay Bangar,7.83,95.92
Balachandra Akhil,15.33,148.39
Dwayne Smith,15,112.5
Aakash Chopra,8.4,80.77
Chamara Silva,20,153.85
Dominic Thornely,19.5,73.58
Umar Gul,13,205.26
Ricky Ponting,9.75,73.58
Amit Mishra,12.33,88.1
Sohail Tanvir,12,124.14
Manpreet Gony,35,152.17
Mahesh Rawat,8.5,87.18
Zaheer Khan,8.5,79.07
Rajat Bhatia,17,121.43
Luke Ronchi,8.5,106.25
Pinal Shah,8.5,97.14
Dinesh Salunkhe,16.5,137.5
Tatenda Taibu,10.33,119.23
Murali Kartik,10,111.11
Harbhajan Singh,15,176.47
Ramesh Powar,-,133.33
RP Singh,6.75,112.5
Saurabh Tiwary,13,130
Wilkin Mota,26,96.3
Vinay Kumar,8.33,113.64
Shivnarine Chanderpaul,8.33,80.65
Matthew Hayden,52,144.81
Adam Gilchrist,30.94,152.31
AB de Villiers,51.67,130.99
Suresh Raina,31,140.91
Tillakaratne Dilshan,41.8,122.58
Jean-Paul Duminy,41.33,114.46
Herschelle Gibbs,33.73,112.08
Brad Hodge,40.56,117.74
Sachin Tendulkar,33.09,120.13
Rohit Sharma,27.85,114.92
Jacques Kallis,27.77,108.73
Yuvraj Singh,28.33,115.65
MS Dhoni,41.5,127.2
Kumar Sangakkara,30.18,102.47
Ravindra Jadeja,26.82,110.9
Dinesh Karthik,36,132.72
Gautam Gambhir,22,102.88
Brendon McCullum,23.75,119.25
Ross Taylor,31.11,134.62
Rahul Dravid,22.58,115.81
Andrew Symonds,35.57,150
Virat Kohli,22.36,112.33
Yusuf Pathan,20.25,132.79
Tirumalsetti Suman,23.7,124.74
Sanath Jayasuriya,18.42,115.1
Mahela Jayawardene,36.5,132.73
Dwayne Bravo,27.25,107.39
Dwayne Smith,26.88,162.88
Graeme Smith,19.27,98.15
Virender Sehwag,19.8,143.48
Irfan Pathan,19.6,124.05
Abhishek Nayar,21.44,126.97
Sourav Ganguly,17.18,91.3
S Badrinath,19.67,107.93
Robin Uthappa,15.91,102.94
Chris Gayle,28.5,119.58
Manish Pandey,84,142.37
Naman Ojha,24,116.67
Morne van Wyk,55.67,126.52
David Warner,23.29,123.48
Mark Boucher,30,129.31
Simon Katich,16.11,123.93
Ajinkya Rahane,24,117.07
Parthiv Patel,15.78,112.7
Ravi Bopara,27.6,115.97
Venugopal Rao,11.27,108.77
Karan Goel,15.5,93.23
Roelof van der Merwe,15.25,124.49
Sunny Sohal,14.38,123.66
Shane Warne,13.5,93.1
Rob Quiney,14.71,100.98
David Hussey,24.5,166.1
Swapnil Asnodkar,12.25,105.38
Albie Morkel,24.25,138.57
Kevin Pietersen,15.5,109.41
Jacob Oram,14.67,94.62
Harbhajan Singh,10.5,158.49
Laxmi Shukla,16.6,97.65
Lee Carseldine,20.25,119.12
Abhishek Raut,19.5,127.87
Mithun Manhas,25,120.97
Wriddhiman Saha,24,175.61
Azhar Bilakhia,16.75,82.72
Ajit Agarkar,33,115.79
Dwaraka Ravi Teja,21.67,92.86
Praveen Kumar,13,141.3
Andrew Flintoff,31,116.98
Murali Vijay,15,89.55
Jesse Ryder,11.2,114.29
Pinal Shah,17.67,103.92
Shreevats Goswami,26.5,88.33
Johan Botha,23.5,117.5
Yashpal Singh,11.75,71.21
Vinay Kumar,9.4,106.82
George Bailey,22.5,115.38
Luke Pomersbach,10.25,83.67
Shikhar Dhawan,10,88.89
Dimitri Mascarenhas,9.75,100
Moises Henriques,19,95
Daniel Vettori,17,106.25
Munaf Patel,11,126.92
Piyush Chawla,6.2,86.11
Wilkin Mota,6,62.5
Chaminda Vaas,30,142.86
Brett Lee,14,82.35
Amit Mishra,8.67,130
Ramesh Powar,23,104.55
Ryan Harris,21,116.67
Murali Kartik,-,105
Farveez Maharoof,21,100
Joginder Sharma,20,111.11
Yogesh Nagar,20,100
Shadab Jakati,20,133.33
Rajesh Bishnoi,6.33,111.76
VVS Laxman,3.8,57.58
Niraj Patel,9,47.37
Yogesh Takawale,18,81.82
Balachandra Akhil,8.5,113.33
Angelo Mathews,16,123.08
Mahesh Rawat,-,84.21
Sachin Tendulkar,47.54,132.62
Jacques Kallis,47.67,115.79
Suresh Raina,47.27,142.86
Sourav Ganguly,37.92,117.66
Murali Vijay,35.23,156.85
Mahela Jayawardene,43.9,147.32
Andrew Symonds,30.64,125.81
Saurabh Tiwary,29.93,135.6
Rohit Sharma,28.86,133.77
Naman Ojha,31.42,132.28
Robin Uthappa,31.17,171.56
Kumar Sangakkara,29.75,138.91
