BatclustNo,BowlclustNo,0s,1s,2s,3s,4s,6s,Out
0,0,0.276899813,0.3032712032,0.1042746212,0,0.0832782368,0.0524348485,0.17984168
0,1,0.1536587302,0.4163293651,0.0620555556,0.0538888889,0.1502380951,0.025,0.1388293651
0,2,0.2660337212,0.3440615349,0.0657495691,0,0.0453871292,0.1143023235,0.1644657222
0,3,0.3421066098,0.2128642502,0.0327043355,0,0.1000604122,0.0821641791,0.2301002132
0,4,0.2901886792,0.3065932914,0.0690880503,0,0.0945597484,0.0629454927,0.1766247379
1,0,0.35781472,0.3258298299,0.0397434423,0.0045438763,0.1009447497,0.0650919913,0.1060313905
1,1,0.3194937092,0.2877042459,0.0497516146,0.0290816327,0.1434136725,0.0658792738,0.1046758514
1,2,0.318165497,0.3226012186,0.0424626754,0.0186768193,0.1000096564,0.069798923,0.1282852103
1,3,0.3085817445,0.2837226727,0.0459792307,0.0019610557,0.1608141697,0.09006983,0.1088712967
1,4,0.3243095014,0.3087374046,0.0734260858,0.0100007508,0.0907248385,0.0528461378,0.1399552811
2,0,0.3135754678,0.3185490664,0.048937989,0.0006896552,0.0782579343,0.0167229379,0.2232669494
2,1,0.2432413601,0.3661092531,0.0656029357,0.009057971,0.0627833519,0.0238758826,0.2293292456
2,2,0.2980867512,0.3147674374,0.0442543568,0.004369213,0.073198315,0.0749498158,0.1903741108
2,3,0.2995735861,0.2960725559,0.0438167215,0.0043002137,0.0827391012,0.0850555347,0.1884422869
2,4,0.3041151783,0.2754958508,0.0569535839,0.0048309179,0.1009220852,0.0397387335,0.2179436506
3,0,0.2500761194,0.3445074265,0.0545731519,0.0021699819,0.0691791858,0.0307682648,0.2487258698
3,1,0.2820970696,0.2916895604,0.0384615385,0,0.0758241758,0.0317307693,0.2801968864
3,2,0.2872098731,0.3038930909,0.0470043913,0,0.0659442951,0.0440323722,0.2519159774
3,3,0.2402979513,0.3498148781,0.0570987127,0.0028508772,0.0713464533,0.0338196343,0.2447714931
3,4,0.2910058874,0.304517316,0.0530141414,0.0144454545,0.0762037662,0.0668410429,0.1939720615
4,0,0.2837648776,0.2929420763,0.063741732,0.0063284043,0.1809596089,0.1632849982,0.0089783027
4,1,0.2909982238,0.2973079271,0.0782490328,0.0023041475,0.1449798332,0.1036423075,0.082518528
4,2,0.3366402206,0.3573192666,0.041408696,0,0.0980969836,0.0535848815,0.1129499517
4,3,0.3245060951,0.3416574243,0.0463352878,0.0046641791,0.1087008431,0.0641344704,0.1100017002
4,4,0.3165014814,0.3680000007,0.1011076618,0.0082722222,0.1531052244,0.0257172249,0.0272961843
