Name,0s,1s,2s,3s,4s,5s,6s,7+,Dismissal,Runs,Balls,SR,Bowler
M Vijay,0.8,0.2,0,0,0,0,0,0,,1,5,20,NM Coulter-Nile
M Vijay,0.5,0.2,0.1,0,0.1,0,0.1,0,,14,10,140,DJ Muthuswami
M Vijay,0.6666666667,0,0,0,0.3333333333,0,0,0,caught,4,3,133.33,AD Mathews
V Sehwag,0.8181818182,0.0909090909,0,0,0.0909090909,0,0,0,,5,11,45.45,NM Coulter-Nile
V Sehwag,0,1,0,0,0,0,0,0,,3,3,100,DJ Muthuswami
V Sehwag,0.3333333333,0.5555555556,0,0,0.1111111111,0,0,0,,9,9,100,AD Mathews
V Sehwag,0.25,0.75,0,0,0,0,0,0,,6,8,75,A Mishra
V Sehwag,0,0.25,0,0,0.5,0,0.25,0,,15,4,375,Imran Tahir
V Sehwag,0,1,0,0,0,0,0,0,,2,2,100,Yuvraj Singh
V Sehwag,0.5,0.25,0,0,0,0,0.25,0,caught,7,4,175,JP Duminy
WP Saha,0,0.5,0,0,0,0,0.5,0,,7,2,350,NM Coulter-Nile
WP Saha,0.6,0.2,0,0,0,0,0.2,0,,7,5,140,DJ Muthuswami
WP Saha,0.3333333333,0.5,0,0,0,0,0.1666666667,0,,9,6,150,AD Mathews
WP Saha,0.3333333333,0.5555555556,0.1111111111,0,0,0,0,0,bowled,7,9,77.77,A Mishra
WP Saha,0,0.5,0.5,0,0,0,0,0,,3,2,150,Imran Tahir
WP Saha,0,0.5,0.5,0,0,0,0,0,,6,4,150,Yuvraj Singh
DA Miller,0,1,0,0,0,0,0,0,,1,1,100,A Mishra
DA Miller,0,1,0,0,0,0,0,0,,1,1,100,Imran Tahir
DA Miller,0.4,0.6,0,0,0,0,0,0,bowled,3,5,60,JP Duminy
GJ Maxwell,0.2,0.2,0.2,0,0,0,0.4,0,caught,15,5,300,Imran Tahir
GJ Bailey,0,0.3333333333,0,0,0.3333333333,0,0.3333333333,0,,11,3,366.66,A Mishra
GJ Bailey,0.4,0.4,0.2,0,0,0,0,0,caught,4,5,80,Imran Tahir
GJ Bailey,0,0.6666666667,0.3333333333,0,0,0,0,0,,4,3,133.33,JP Duminy
AR Patel,0,0.6666666667,0,0,0,0,0.3333333333,0,,8,3,266.66,A Mishra
AR Patel,0.4285714286,0.4285714286,0.1428571429,0,0,0,0,0,caught,5,7,71.42,Imran Tahir
MA Agarwal,0.5,0.25,0.125,0,0.125,0,0,0,,8,8,100,Sandeep Sharma
MA Agarwal,0.5,0.1666666667,0.0833333333,0,0.25,0,0,0,bowled,16,12,133.33,Anureet Singh
MA Agarwal,0.1,0.6,0,0,0.2,0,0.1,0,,20,10,200,MG Johnson
MA Agarwal,0,0.6666666667,0.1666666667,0,0.1666666667,0,0,0,,10,6,166.66,R Dhawan
MA Agarwal,0.25,0.75,0,0,0,0,0,0,,6,8,75,AR Patel
MA Agarwal,0.25,0.5,0,0,0,0,0.25,0,,8,4,200,GJ Maxwell
SS Iyer,0.6,0,0.2,0,0.2,0,0,0,caught,6,5,120,Sandeep Sharma
JP Duminy,0.2,0.4,0.2,0,0.2,0,0,0,,8,5,160,Sandeep Sharma
